Story,File,en,pt ,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl
1,1,TEETH   ,DENTES,DIENTES  ,DENTI  ,DENTS  ,ZÄHNE  ,歯,は,HA,TANDEN
1,10,SQUEEZE TOOTHPASTE  ,ESPREMER PASTA DE DENTES,EXPRIMIR PASTA DE DIENTES  ,SPREMERE DENTIFRICIO  ,PRESSER LE DENTIFRICE  ,ZAHNPASTA DRÜCKEN  ,歯磨き粉を絞る,はみがきこをしぼる,HAMIGAKIKO O SHIBORU,TANDPASTA KNEDEN
1,11,TOOTHBRUSH   ,ESCOVA DE DENTES,CEPILLO  ,SPAZZOLINO  ,BROSSE À DENTS  ,ZAHNBÜRSTE  ,歯ブラシ,はブラシ,HABURASHI,TANDENBORSTEL
1,12,BRUSH TEETH  ,ESCOVAR DENTES,CEPILLARSE LOS DIENTES  ,SPAZZOLARE I DENTI  ,BROSSER LES DENTS  ,ZÄHNE PUTZEN  ,歯を磨く,はをみがく,HA O MIGAKU,TANDEN POETSEN
1,13,MOUTH   ,BOCA,BOCA  ,BOCCA  ,BOUCHE  ,MUND  ,口,くち,KUCHI,MOND
1,14,OPEN MOUTH  ,ABRIR BOCA,ABRIR BOCA  ,APRIRE BOCCA  ,OUVRIR LA BOUCHE  ,OFFNEN MUND  ,口を開ける,くちをあける,KUCHI O AKERU,MOND OPENEN
1,15,CLOSE MOUTH  ,FECHAR BOCA,CERRAR BOCA  ,CHIUDERE BOCCA  ,FERMER LA BOUCHE  ,SCHLIESSEN MUND  ,口を閉じる,くちをとじる,KUCHI O TOJIRU,MOND SLUITEN
1,16,WATER   ,ÁGUA,AGUA  ,ACQUA  ,EAU  ,WASSER  ,水,みず,MIZU,WATER
1,17,RINSE MOUTH  ,ENXAGUAR BOCA,ENJUAGAR BOCA  ,SCIAQUARE BOCCA  ,RINCER LA BOUCHE  ,MUND SPÜLEN  ,口をすすぐ,くちをすすぐ,KUCHI O SUSUGU,MOND SPOELEN
1,18,RINSE TOOTHBRUSH  ,ENXAGUAR ESCOVA,ENJUAGAR CEPILLO  ,SCIAQUARE SPAZZOLINO  ,RINCER LA BROSSE  ,BÜRSTE SPÜLEN  ,歯ブラシをすすぐ,はブラシをすすぐ,HABURASHI O SUSUGU,TANDENBORSTEL SPOELEN
1,19,SINK   ,PIA,LAVABO  ,LAVABO  ,ÉVIER  ,WASCHBECKEN ,洗面台,せんめんだい,SENMENDAI,WASTAFEL
1,20,ON - IN  ,EM CIMA - DENTRO,ARRIBA - DENTRO,SU - DENTRO,SUR - DANS,AUF - IN,オン,オン,ON,AAN - IN
1,21,TOOTHBRUSH HOLDER  ,PORTA ESCOVA,SOPORTE DE CEPILLO  ,PORTA SPAZZOLINO  ,PORTE-BROSSE  ,ZAHNBÜRSTENHALTER  ,歯ブラシ立て,はブラシたて,HABURASHI TATE,TANDENBORSTELHOUDER
