STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl
1,1. PABLO WAKES UP.,1. PABLO ACORDA.,1. PABLO SE DESPIERTA.,1. PABLO SI SVEGLIA.,1. PABLO SE RÉVEILLE.,1. PABLO WACHT AUF.,1. パブロが起きます。,1. ぱぶろが起きます。,1. PABURO GA OKIMASU.,1. PABLO WORDT WAKKER.
1,2. HE PICKS UP HIS TOOTHBRUSH.,2. ELE PEGA SUA ESCOVA DE DENTES.,2. ÉL TOMA SU CEPILLO DE DIENTES.,2. LUI PRENDE LO SPAZZOLINO.,2. IL PREND SA BROSSE À DENTS.,2. ER NIMMT SEINE ZAHNBÜRSTE.,2. 彼はハブラシを取ります。,2. かれはハブラシをとります。,2. KARE WA HABURASHI O TORIMASU.,2. HIJ PAKT ZIJN TANDENBORSTEL.
1,3. HE SQUEEZES TOOTHPASTE ON THE TOOTHBRUSH.,3. ELE ESPREME PASTA DE DENTES NA ESCOVA.,3. ÉL EXPRIME PASTA DE DIENTES EN EL CEPILLO.,3. LUI SPREME IL DENTIFRICIO SULLO SPAZZOLINO.,3. IL PRESSE DU DENTIFRICE SUR LA BROSSE.,3. ER DRÜCKT ZAHNPASTA AUF DIE BÜRSTE.,3. 彼はハブラシにはみがきこを出します。,3. かれはハブラシにはみがきこをだします。,3. KARE WA HABURASHI NI HAMIGAKIKO O DASHIMASU.,3. HIJ DOET TANDPASTA OP DE BORSTEL.
1,4. HE BRUSHES HIS TEETH.,4. ELE ESCOVA OS DENTES.,4. ÉL SE CEPILLA LOS DIENTES.,4. LUI SI LAVA I DENTI.,4. IL SE BROSSE LES DENTS.,4. ER PUTZT SICH DIE ZÄHNE.,4. 彼は歯を磨きます。,4. かれははをみがきます。,4. KARE WA HA O MIGAKIMASU.,4. HIJ POETST ZIJN TANDEN.
1,5. HE RINSES HIS MOUTH WITH WATER.,5. ELE ENXAGUA A BOCA COM ÁGUA.,5. ÉL SE ENJUAGA LA BOCA CON AGUA.,5. LUI SCIACQUA LA BOCCA CON ACQUA.,5. IL SE RINCE LA BOUCHE AVEC DE L’EAU.,5. ER SPÜLT SEINEN MUND MIT WASSER.,5. 彼は口を水でゆすぎます。,5. かれはくちをみずでゆすぎます。,5. KARE WA KUCHI O MIZU DE YUSUGIMASU.,5. HIJ SPOELT ZIJN MOND MET WATER.
1,6. HE RINSES THE TOOTHBRUSH.,6. ELE ENXAGUA A ESCOVA DE DENTES.,6. ÉL ENJUAGA EL CEPILLO DE DIENTES.,6. LUI SCIACQUA LO SPAZZOLINO.,6. IL RINCE LA BROSSE À DENTS.,6. ER SPÜLT DIE ZAHNBÜRSTE.,6. 彼はハブラシをゆすぎます。,6. かれはハブラシをゆすぎます。,6. KARE WA HABURASHI O YUSUGIMASU.,6. HIJ SPOELT DE BORSTEL.
1,7. HE PUTS THE TOOTHBRUSH IN THE HOLDER.,7. ELE COLOCA A ESCOVA NO SUPORTE.,7. ÉL PONE EL CEPILLO EN EL SOPORTE.,7. LUI METTE LO SPAZZOLINO NEL PORTASPONZ.,7. IL MET LA BROSSE DANS LE PORTE-BROSSE.,7. ER STELLT DIE ZAHNBÜRSTE IN DEN HALTER.,7. 彼はハブラシをホルダーに置きます。,7. かれはハブラシをホルダーにおきます。,7. KARE WA HABURASHI O HORUDĀ NI OKIMASU.,7. HIJ ZET DE BORSTEL IN DE HOUDER.
1,8. HE DRIES HIS HANDS WITH A TOWEL.,8. ELE SECA AS MÃOS COM UMA TOALHA.,8. ÉL SE SECA LAS MANOS CON UNA TOALLA.,8. LUI SI ASCIUGA LE MANI CON UN ASCIUGAMANO.,8. IL SE SÈCHE LES MAINS AVEC UNE SERVIETTE.,8. ER TROCKNET SEINE HÄNDE MIT EINEM HANDTUCH.,8. 彼はタオルで手を乾かします。,8. かれはタオルでてをかわかします。,8. KARE WA TAORU DE TE O KAWAKASHIMASU.,8. HIJ DROOGT ZIJN HANDEN MET DE HANDDOEK.
1,9. HE SMILES IN THE MIRROR.,9. ELE SORRI NO ESPELHO.,9. ÉL SONRÍE EN EL ESPEJO.,9. LUI SORRIDE ALLO SPECCHIO.,9. IL SOURIT DANS LE MIROIR.,9. ER LÄCHELT IM SPIEGEL.,9. 彼は鏡に笑います。,9. かれはかがみにわらいます。,9. KARE WA KAGAMI NI WARAIMASU.,9. HIJ LACHT IN DE SPIEGEL.
2,1. HE IS JOHN.,1. ELE É JOHN.,1. ÉL ES JOHN.,1. LUI È JOHN.,1. IL EST JOHN.,1. ER IST JOHN.,1. 彼はジョンです。,1. かれはジョンです。,1. KARE WA JON DESU.,1. HIJ IS JOHN.
