STORY,EN,PT,ES,IT,FR,DE,JA,HIRAGANA,ROMAJI,NL
1,BRUSHING YOUR TEETH,ESCOVANDO OS DENTES,CEPILLANDO LOS DIENTES,SPAZZOLARSI I DENTI,SE BROSSER LES DENTS,ZÄHNE PUTZEN,歯を磨く,歯（は）を磨（みが）く,Ha o migaku,TANDEN POETSEN
2,WASHING YOUR HANDS,LAVANDO AS MÃOS,LAVÁNDOSE LAS MANOS,LAVARSI LE MANI,SE LAVER LES MAINS,HÄNDE WASCHEN,手を洗う,手（て）を洗（あら）う,Te o arau,HANDEN WASSEN
3,DRINKING MILK,TOMANDO LEITE,BEBIENDO LECHE,BERE IL LATTE,BOIRE DU LAIT,MILCH TRINKEN,牛乳を飲む,牛乳（ぎゅうにゅう）を飲（の）む,Gyuunyuu o nomu,MELK DRINKEN
4,TAKING VITAMINS,TOMANDO VITAMINAS,TOMANDO VITAMINAS,PRENDERE LE VITAMINE,PRENDRE DES VITAMINE,VITAMINE NEHMEN,ビタミンを摂る,ビタミンを摂（と）る,Bitamin o toru,VITAMINEN NEMEN
5,MAKING TOAST,FAZENDO TORRADA,HACIENDO TOSTADA,FARE IL TOAST,FAIRE DES TOASTS,TOAST MACHEN,トーストを作る,トーストを作（つく）る,Toosuto o tsukuru,TOAST MAKEN
6,MAKING COFFEE,FAZENDO CAFÉ,HACIENDO CAFÉ,FARE IL CAFFÉ,FAIRE DU CAFÉ,KAFFEE MACHEN,コーヒーを作る,コーヒーを作（つく）る,Koohii o tsukuru,KOFFIE ZETTEN
7,FEEDING THE CAT,ALIMENTANDO O GATO,ALIMENTANDO AL GATO,DARE DA MANGIARE AL GATTO,NOURRIR LE CHAT,DIE KATZE FÜTTERN,猫に餌をやる,猫（ねこ）に餌（えさ）をやる,Neko ni esa o yaru,DE KAT VOEREN
8,EATING CEREAL,COMENDO CEREAL,COMIENDO CEREAL,MANGIARE CEREALI,MANGER DES CÉRÉALES,MÜSLI ESSEN,シリアルを食べる,シリアルを食（た）べる,Shiriaru o taberu,GRANEN ETEN
9,READING A BOOK,LENDO UM LIVRO,LEYENDO UN LIBRO,LEGGERE UN LIBRO,LIRE UN LIVRE,EIN BUCH LESEN,本を読む,本（ほん）を読（よ）む,Hon o yomu,BOEK LEZEN
10,DRINKING TEA,TOMANDO CHÁ,BEBIENDO TÉ,BERE IL TÈ,BOIRE DU THÉ,TEE TRINKEN,お茶を飲む,お茶（ちゃ）を飲（の）む,Ocha o nomu,THEE DRINKEN
11,EATING SCRAMBLED EGGS,COMENDO OVOS MEXIDOS,COMIENDO HUEVOS REVUELTOS,MANGIARE UOVA STRAPAZZATE,MANGER DES ŒUFS BROUILLÉS,RÜHREIER ESSEN,スクランブルエッグを食べる,スクランブルエッグを食（た）べる,Sukuranburu eggu o taberu,ROEREIEREN ETEN
12,EATING ICE CREAM,COMENDO SORVETE,COMIENDO HELADO,MANGIARE GELATO,MANGER DE LA GLACE,EIS ESSEN,アイスクリームを食べる,アイスクリームを食（た）べる,Aisukuriimu o taberu,IJS ETEN
13,BREAKING A GLASS,QUEBRANDO UM COPO,ROMPIENDO UN VASO,ROMPERE UN BICCHIERE,CASSER UN VERRE,EIN GLAS ZERBRECHEN,グラスを割る,グラスを割（わ）る,Gurasu o waru,GLAS BREKEN
14,CLEANING THE HOUSE,LIMPANDO A CASA,LIMPIANDO LA CASA,PULIRE LA CASA,NETTOYER LA MAISON,DAS HAUS REINIGEN,家を掃除する,家（いえ）を掃除（そうじ）する,Ie o souji suru,HET HUIS SCHOONMAKEN
15,BREAKING A PLATE,QUEBRANDO UM PRATO,ROMPIENDO UN PLATO,ROMPERE UN PIATTO,CASSER UNE ASSIETTE,EINEN TELLER ZERBRECHEN,皿を割る,皿（さら）を割（わ）る,Sara o waru,BORD BREKEN
16,FALLING DOWN,CAINDO,CAYÉNDOSE,CADERE,TOMBER,HINFALLEN,転ぶ,転（ころ）ぶ,Korobu,VALEN
17,WASHING DISHES,LAVANDO LOUÇA,LAVANDO LOS PLATOS,LAVARE I PIATTI,FAIRE LA VAISSELLE,GESCHIRR SPÜLEN,皿を洗う,皿（さら）を洗（あら）う,Sara o arau,AFWASSEN
18,GETTING SICK,FICANDO DOENTE,ENFERMARSE,AMMALARSI,TOMBER MALADE,KRANK WERDEN,病気になる,病気（びょうき）になる,Byouki ni naru,ZIEK WORDEN
19,GOING HOME,INDO PRA CASA,YENDO A CASA,ANDARE A CASA,RENTRER À LA MAISON,NACH HAUSE GEHEN,家に帰る,家（いえ）に帰（かえ）る,Ie ni kaeru,NAAR HUIS GAAN
20,GIVING A PRESENT,DANDO UM PRESENTE,DANDO UN REGALO,DARE UN REGALO,OFFRIR UN CADEAU,EIN GESCHENK GEBEN,プレゼントを渡す,プレゼントを渡（わた）す,Purezento o watasu,EEN CADEAU GEVEN
21,PREPARING A SMOOTHIE,PREPARANDO UM SMOOTHIE,PREPARANDO UN BATIDO,PREPARARE UN FRULLATO,PRÉPARER UN SMOOTHIE,EINEN SMOOTHIE ZUBEREITEN,スムージーを作る,スムージーを作（つく）る,Sumuujii o tsukuru,SMOOTHIE MAKEN
22,DECORATING A ROOM,DECORANDO UM QUARTO,DECORANDO UNA HABITACIÓN,DECORARE UNA STANZA,DÉCORER UNE CHAMBRE,EIN ZIMMER DEKORIEREN,部屋を飾る,部屋（へや）を飾（かざ）る,Heya o kazaru,EEN KAMER DECOREREN
23,TAKING A WALK,DANDO UMA CAMINHADA,DANDO UN PASEO,FARE UNA PASSEGGIATA,FAIRE UNE PROMENADE,SPAZIEREN GEHEN,散歩する,散歩（さんぽ）する,Sanpo suru,WANDELING MAKEN
24,DRIVING A CAR,DIRIGINDO UM CARRO,CONDUCIENDO UN COCHE,GUIDARE UNA MACCHINA,CONDUIRE UNE VOITURE,EIN AUTO FAHREN,車を運転する,車（くるま）を運転（うんてん）する,Kuruma o unten suru,AUTO RIJDEN
25,PACKING A SUITCASE,ARRUMANDO UMA MALA,EMPACANDO UNA MALETA,FARE LA VALIGIA,FAIRE SA VALISE,EINEN KOFFER PACKEN,スーツケースを詰める,スーツケースを詰（つ）める,Suutsukeesu o tsumeru,KOFFERTAS INPAKKEN
26,BUYING GROCERIES,COMPRANDO MANTIMENTOS,COMPRANDO COMESTIBLES,COMPRARE LA SPESA,FAIRE LES COURSES,LEBENSMITTEL KAUFEN,食料品を買う,食料品（しょくりょうひん）を買（か）う,Shokuryouhin o kau,BOODSCHAPPEN DOEN
27,BUILDING A SANDCASTLE,CONSTRUINDO UM CASTELO DE AREIA,CONSTRUYENDO UN CASTILLO DE ARENA,CONSTRUIRE UN CASTELLO DI SABBIA,CONSTRUIRE UN CHÂTEAU DE SABLE,EINE SANDBURG BAUEN,砂の城を作る,砂（すな）の城（しろ）を作（つく）る,Suna no shiro o tsukuru,ZANDKASTEEL BOUWEN
28,BAKING A CAKE,ASSANDO UM BOLO,HORNEANDO UN PASTEL,PREPARARE UNA TORTA,FAIRE UN GÂTEAU,EINEN KUCHEN BACKEN,ケーキを焼く,ケーキを焼（や）く,Keeki o yaku,TAART BAKKEN
29,CALLING A FRIEND,LIGANDO PARA UM AMIGO,LLAMANDO A UN AMIGO,CHIAMARE UN AMICO,APPELER UN AMI,EINEN FREUND ANRUFEN,友達に電話する,友達（ともだち）に電話（でんわ）する,Tomodachi ni denwa suru,VRIEND BELLEN
30,HELPING A NEIGHBOR,AJUDANDO UM VIZINHO,AYUDANDO A UN VECINO,AIUTARE UN VICINO,AIDER UN VOISIN,EINEM NACHBARN HELFEN,隣人を助ける,隣人（りんじん）を助（たす）ける,Rinjin o tasukeru,BUURTGENOOT HELPEN
31,WATCHING THE SOCCER GAME,ASSISTINDO AO JOGO DE FUTEBOL,VIENDO EL PARTIDO DE FÚTBOL,GUARDARE LA PARTITA DI CALCIO,REGARDER LE MATCH DE FOOTBALL,DAS FUẞBALLSPIEL ANSCHAUEN,サッカーの試合を見る,サッカーの試合（しあい）を見（み）る,Sakkaa no shiai o miru,VOETBALWEDSTRIJD KIJKEN
32,WASHING THE CAR,LAVANDO O CARRO,LAVANDO EL COCHE,LAVARE L’AUTO,LAVER LA VOITURE,DAS AUTO WASCHEN,車を洗う,車（くるま）を洗（あら）う,Kuruma o arau,AUTO WASSEN
33,GOING TO THE DENTIST,INDO AO DENTISTA,YENDO AL DENTISTA,ANDARE DAL DENTISTA,ALLER CHEZ LE DENTISTE,ZUM ZAHNARTZ GEHEN,歯医者に行く,歯医者（はいしゃ）に行（い）く,Haisha ni iku,NAAR DE TANDARTS GAAN
34,FEEDING THE DOG,ALIMENTANDO O CACHORRO,ALIMENTANDO AL PERRO,DARE DA MANGIARE AL CANE,NOURRIR LE CHIEN,DEN HUND FÜTTERN,犬に餌をあげる,犬（いぬ）に餌（えさ）をあげる,Inu ni esa o ageru,HOND VOEREN
