Story,File,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl,,,,,,
1,,WAKE UP,DENTES,DIENTES,DENTI,DENTS,ZÄHNE,歯,は,HA,TANDEN,,,,,,
1,,PICK UP,ESPREMER PASTA DE DENTES,EXPRIMIR PASTA DE DIENTES,SPREMERE DENTIFRICIO,PRESSER LE DENTIFRICE,ZAHNPASTA DRÜCKEN,歯磨き粉を絞る,はみがきこをしぼる,HAMIGAKIKO O SHIBORU,TANDPASTA KNEDEN,,,,,,
1,,PUT DOWN,ESCOVA DE DENTES,CEPILLO DE DIENTES,SPAZZOLINO,BROSSE À DENTS,ZAHNBÜRSTE,歯ブラシ,はぶらし,HABURASHI,TANDENBORSTEL,,,,,,
1,,HIS CAR – HER CAR,ESCOVAR DENTES,CEPILLARSE LOS DIENTES,SPAZZOLARE I DENTI,BROSSER LES DENTS,ZÄHNE PUTZEN,歯を磨く,はをみがく,HA O MIGAKU,TANDEN POETSEN,,,,,,
1,,MOUTH,BOCA,BOCA,BOCCA,BOUCHE,MUND,口,くち,KUCHI,MOND,,,,,,
1,,HIS MOUTH – HER MOUTH,ABRIR BOCA,ABRIR BOCA,APRIRE BOCCA,OUVRIR LA BOUCHE,MUND ÖFFNEN,口を開ける,くちをあける,KUCHI O AKERU,MOND OPENEN,,,,,,
1,,TOOTH,FECHAR BOCA,CERRAR BOCA,CHIUDERE BOCCA,FERMER LA BOUCHE,MUND SCHLIESSEN,口を閉じる,くちをとじる,KUCHI O TOJIRU,MOND SLUITEN,,,,,,
1,,TEETH,ÁGUA,AGUA,ACQUA,EAU,WASSER,水,みず,MIZU,WATER,,,,,,
1,,BRUSH,ENXAGUAR BOCA,ENJUAGAR BOCA,SCIAQUARE BOCCA,RINCER LA BOUCHE,MUND SPÜLEN,口をすすぐ,くちをすすぐ,KUCHI O SUSUGU,MOND SPOELEN,,,,,,
1,,BRUSHES,ENXAGUAR ESCOVA,ENJUAGAR CEPILLO,SCIAQUARE SPAZZOLINO,RINCER LA BROSSE,BÜRSTE SPÜLEN,歯ブラシをすすぐ,はぶらしをすすぐ,HABURASHI O SUSUGU,TANDENBORSTEL SPOELEN,,,,,,
1,,BRUSH TEETH,PIA,LAVABO,LAVABO,ÉVIER,WASCHBECKEN,洗面台,せんめんだい,SENMENDAI,WASTAFEL,,,,,,
1,,TOOTHBRUSH,EM CIMA - DENTRO,ARRIBA - DENTRO,SU - DENTRO,SUR - DANS,AUF - IN,鍵,おん,ON,AAN - IN,,,,,,
1,,HOLDER,PORTA ESCOVA,SOPORTE DE CEPILLO,PORTA SPAZZOLINO,PORTE-BROSSE,ZAHNBÜRSTENHALTER,歯ブラシ立て,はぶらしたて,HABURASHI TATE,TANDENBORSTELHOUDER,,,,,,
1,,TOOTHBRUSH HOLDER,TOALHA,TOALLA,ASCIUGAMANO,SERVIETTE,HANDTUCH,タオル,たおる,TAORU,HANDDOEK,,,,,,
1,,HE – SHE,TOALHAS SECAS E MOLHADAS,TOALLAS SECAS Y MOJADAS,ASCIUGAMANI ASCIUTTI E BAGNATI,SERVIETTES SÈCHES ET HUMIDES,TROCKENE UND NASSE HANDTÜCHER,乾いたタオルと濡れたタオル,かわいたたおるとぬれたたおる,KAWAITA TAORU TO NURETA TAORU,DROGE EN NATTE HANDDOEKEN,,,,,,
1,,HOUSE,MÃO,MANO,MANO,MAIN,HAND,手,て,TE,HAND,,,,,,
1,,A HOUSE – THE HOUSE,MÃOS,MANOS,MANI,MAINS,HÄNDE,両手,りょうて,RYOUTE,HANDEN,,,,,,
1,,LEMON,SECAR MÃOS COM TOALHA,SECAR MANOS CON TOALLA,ASCIUGARE MANI CON ASCIUGAMANO,SÉCHER LES MAINS AVEC SERVIETTE,HÄNDE MIT HANDTUCH TROCKNEN,手をタオルで拭く,てをたおるでふく,TE O TAORU DE FUKU,HANDEN DROGEN MET HANDDOEK,,,,,,
1,,SQUEEZE LEMON,SORRISO,SONRISA,SORRISO,SOURIRE,LÄCHELN,笑う,わらう,WARAU,GLIMLACH,,,,,,
1,,PASTE,ESPELHO,ESPEJO,SPECCHIO,MIROIR,SPIEGEL,鏡,かがみ,KAGAMI,SPIEGEL,,,,,,
1,,TOOTHPASTE,ACORDAR,DESPERTAR,SVEGLIARSI,SE RÉVEILLER,AUFWACHEN,起きる,おきる,OKIRU,WAKKER WORDEN,,,,,,
1,,BOX,LIVRO,LIBRO,LIBRO,LIVRE,BUCH,本,ほん,HON,BOEK,,,,,,
1,,ON THE BOX – IN THE BOX,PEGAR LIVRO,AGARRAR LIBRO,PRENDERE LIBRO,PRENDRE LIVRE,BUCH NEHMEN,本を取る,ほんをとる,HON O TORU,BOEK OPPAKKEN,,,,,,
1,,TO RINSE,COLOCAR LIVRO,DEJAR LIBRO,POSARE LIBRO,POSER LIVRE,BUCH ABLEGEN,本を置く,ほんをおく,HON O OKU,BOEK NEERLEGGEN,,,,,,
1,,DRY – WET,BANHEIRO,BAÑO,BAGNO,SALLE DE BAIN,BAD,お風呂,おふろ,OFURO,BADKAMER,,,,,,
1,,HAND – HANDS,LIMÃO,LIMÓN,LIMONE,CITRON,ZITRONE,レモン,れもん,REMON,CITROEN,,,,,,
1,,GLASSES,ESPREMER LIMÃO,EXPRIMIR LIMÓN,SPREMERE LIMONE,PRESSER LE CITRON,ZITRONE AUSDRÜCKEN,レモンを絞る,れもんをしぼる,REMON O SHIBORU,CITROEN UITKNIJPEN,,,,,,
1,,WITH GLASSES – WITHOUT GLASSES,COM ÓCULOS – SEM ÓCULOS,CON GAFAS – SIN GAFAS,CON OCCHIALI – SENZA OCCHIALI,AVEC LUNETTES – SANS LUNETTES,MIT BRILLE – OHNE BRILLE,眼鏡あり – 眼鏡なし,めがねあり – めがねなし,MEGANE ARI – MEGANE NASHI,MET BRIL – ZONDER BRIL,,,,,,
1,,TOWEL,TOALHA,TOALLA,ASCIUGAMANO,SERVIETTE,HANDTUCH,タオル,たおる,TAORU,HANDDOEK,,,,,,
1,,SMILE,SORRISO,SONRISA,SORRISO,SOURIRE,LÄCHELN,笑顔,えがお,EGAO,GLIMLACH,,,,,,
1,,MIRROR,ESPELHO,ESPEJO,SPECCHIO,MIROIR,SPIEGEL,鏡,かがみ,KAGAMI,SPIEGEL,,,,,,
2,,I AM – YOU ARE – HE/SHE/IT IS – WE ARE – YOU ARE – THEY ARE,EU SOU – VOCÊ É – ELE/ELA É – NÓS SOMOS – VOCÊS SÃO – ELES SÃO,YO SOY – TÚ ERES – ÉL/ELLA ES – NOSOTROS SOMOS – USTEDES SON – ELLOS SON,IO SONO – TU SEI – LUI/LEI È – NOI SIAMO – VOI SIETE – LORO SONO,JE SUIS – TU ES – IL/ELLE EST – NOUS SOMMES – VOUS ÊTES – ILS SONT,ICH BIN – DU BIST – ER/SIE/ES IST – WIR SIND – IHR SEID – SIE SIND,私はです,わたしはです,WATASHI WA DESU,IK BEN – JIJ BENT – HIJ/ZIJ/HET IS – WIJ ZIJN – JULLIE ZIJN – ZIJ ZIJN,,,,,,
2,,HAND – HANDS,MÃO – MÃOS,MANO – MANOS,MANO – MANI,MAIN – MAINS,HAND – HÄNDE,手 – 手,て – て,TE – TE,HAND – HANDEN,,,,,,
2,,DIRTY – CLEAN,SUJO – LIMPO,SUCIO – LIMPIO,SPORCO – PULITO,SALE – PROPRE,SCHMUTZIG – SAUBER,汚い – 綺麗,きたない – きれい,KITANAI – KIREI,VIES – SCHOON,,,,,,
2,,WALK – RUN,ANDAR – CORRER,CAMINAR – CORRER,CAMMINARE – CORRERE,MARCHER – COURIR,GEHEN – LAUFEN,歩く – 走る,あるく – はしる,ARUKU – HASHIRU,LOPEN – RENNEN,,,,,,
2,,SINK,PIA,LAVABO,LAVABO,ÉVIER,WASCHBECKEN,洗面台,せんめんだい,SENMENDAI,WASTAFEL,,,,,,
2,,TO THE SINK,ATÉ A PIA,A LA PILETA,AL LAVANDINO,JUSQU’AU LAVABO,ZUM WASCHBECKEN,洗面台へ,せんめんだいへ,SENMENDAI E,WASTAFEL TOE,,,,,,
2,,TURN ON – TURN OFF,LIGAR – DESLIGAR,ENCENDER – APAGAR,ACCENDERE – SPEGNERE,ALLUMER – ÉTEINDRE,EINSCHALTEN – AUSSCHALTEN,付ける – 消す,つける – けす,TSUKERU – KESU,AANZETTEN – UITZETTEN,,,,,,
2,,FAUCET,TORNEIRA,GRIFO,RUBINETTO,ROBINET,HAHN,蛇口,じゃぐち,JAGUCHI,KRAAN,,,,,,
2,,PICK UP,PEGAR,RECOGER,PRENDERE,RAMASSER,AUFHEBEN,拾う,ひろう,HIROU,OPPAKKEN,,,,,,
2,,PUT DOWN,COLOCAR,DEJAR,POSARE,POSER,HINLEGEN,置く,おく,OKU,NEERZETTEN,,,,,,
2,,SOAP,SABÃO,JABÓN,SAPONE,SAVON,SEIFE,石鹸,せっけん,SEKKEN,ZEEP,,,,,,
2,,WASH,LAVAR,LAVAR,LAVARE,LAVER,WASCHEN,洗う,あらう,ARAU,WASSEN,,,,,,
2,,WASH HANDS,LAVAR AS MÃOS,LAVARSE LAS MANOS,LAVARSI LE MANI,SE LAVER LES MAINS,HÄNDE WASCHEN,手を洗う,てをあらう,TE O ARAU,HANDEN WASSEN,,,,,,
2,,WITH SOAP -WITHOUT SOAP,COM SABÃO – SEM SABÃO,CON JABÓN – SIN JABÓN,CON SAPONE – SENZA SAPONE,AVEC SAVON – SANS SAVON,MIT SEIFE – OHNE SEIFE,石鹸あり – 石鹸なし,せっけんあり – せっけんなし,SEKKEN ARI – SEKKEN NASHI,MET ZEEP – ZONDER ZEEP,,,,,,
2,,RINSE,ENXAGUAR,ENJUAGAR,SCIAQUARE,RINCER,SPÜLEN,濯ぐ,すすぐ,SUSUGU,SPOELEN,,,,,,
2,,RINSE HANDS,ENXAGUAR AS MÃOS,ENJUAGAR LAS MANOS,SCIAQUARE LE MANI,RINCER LES MAINS,HÄNDE SPÜLEN,手を濯ぐ,てをすすぐ,TE O SUSUGU,HANDEN SPOELEN,,,,,,
2,,TOWEL,TOALHA,TOALLA,ASCIUGAMANO,SERVIETTE,HANDTUCH,タオル,たおる,TAORU,HANDDOEK,,,,,,
2,,GET TOWEL,PEGAR TOALHA,AGARRAR TOALLA,PRENDERE ASCIUGAMANO,PRENDRE SERVIETTE,HANDTUCH NEHMEN,タオルを取る,たおるをとる,TAORU O TORU,HANDDOEK PAKKEN,,,,,,
2,,DRY – WET,SECO – MOLHADO,SECO – MOJADO,SECCO – BAGNATO,SEC – MOUILLÉ,TROCKEN – NASS,乾いた – 濡れた,かわいた – ぬれた,KAWAITA – NURETA,DROOG – NAT,,,,,,
2,,DRY HANDS WITH TOWEL,SECAR AS MÃOS COM TOALHA,SECAR LAS MANOS CON TOALLA,ASCIUGARE LE MANI CON ASCIUGAMANO,SÉCHER LES MAINS AVEC SERVIETTE,HÄNDE MIT HANDTUCH TROCKNEN,手をタオルで拭く,てをたおるでふく,TE O TAORU DE FUKU,HANDEN DROGEN MET HANDDOEK,,,,,,
2,,PUT BACK ,DEVOLVER,VOLVER A PONER,RIMETTERE,REMETTRE,ZURÜCKLEGEN,戻す,もどす,MODOSU,TERUGLEGGEN,,,,,,
2,,PUT BACK TOWEL,DEVOLVER TOALHA,VOLVER A PONER LA TOALLA,RIMETTERE L’ASCIUGAMANO,REMETTRE LA SERVIETTE,HANDTUCH ZURÜCKLEGEN,タオルを戻す,たおるをもどす,TAORU O MODOSU,HANDDOEK TERUGLEGGEN,,,,,,
2,,WHISTLE,ASSOBIAR,SILBAR,FISCHIARE,SIFFLER,PFEIFEN,口笛を吹く,くちぶえをふく,KUCHIBUE O FUKU,FLUITEN,,,,,,
3,,I AM – YOU ARE – HE/SHE/IT IS – WE ARE – YOU ARE – THEY ARE,EU SOU – VOCÊ É – ELE/ELA É – NÓS SOMOS – VOCÊS SÃO – ELES SÃO,YO SOY – TÚ ERES – ÉL/ELLA ES – NOSOTROS SOMOS – USTEDES SON – ELLOS SON,IO SONO – TU SEI – LUI/LEI È – NOI SIAMO – VOI SIETE – LORO SONO,JE SUIS – TU ES – IL/ELLE EST – NOUS SOMMES – VOUS ÊTES – ILS SONT,ICH BIN – DU BIST – ER/SIE/ES IST – WIR SIND – IHR SEID – SIE SIND,私はです,わたしはです,WATASHI WA DESU,IK BEN – JIJ BENT – HIJ/ZIJ/HET IS – WIJ ZIJN – JULLIE ZIJN – ZIJ ZIJN,,,,,,
3,,PUT ,COLOCAR,PONER,METTERE,POSER,LEGEN,置く,おく,OKU,NEERZETTEN,,,,,,
3,,CUP,COPO,TAZA,BICCHIERE,TASSE,BECHER,コップ,こっぷ,KOPPU,BEKER,,,,,,
3,,PUT CUP ON TABLE,COLOCAR COPO NA MESA,PONER TAZA EN LA MESA,METTERE IL BICCHIERE SUL TAVOLO,POSER LA TASSE SUR LA TABLE,BECHER AUF DEN TISCH STELLEN,コップをテーブルに置く,こっぷをてーぶるにおく,KOPPU O TE-BURU NI OKU,BEKER OP TAFEL ZETTEN,,,,,,
3,,FALL,CAIR,CAER,CADERE,TOMBER,FALLEN,落ちる,おちる,OCHIRU,VALLEN,,,,,,
3,,WATER,ÁGUA,AGUA,ACQUA,EAU,WASSER,水,みず,MIZU,WATER,,,,,,
3,,BOX,CAIXA,CAJA,SCATOLA,BOÎTE,SCHACHTEL,箱,はこ,HAKO,DOOS,,,,,,
3,,ON THE BOX – IN THE BOX,EM CIMA DA CAIXA – DENTRO DA CAIXA,ENCIMA DE LA CAJA – DENTRO DE LA CAJA,SOPRA LA SCATOLA – NELLA SCATOLA,SUR LA BOÎTE – DANS LA BOÎTE,AUF DER SCHACHTEL – IN DER SCHACHTEL,箱の上に – 箱の中に,はこのうえに – はこのなかに,HAKO NO UE NI – HAKO NO NAKA NI,OP DE DOOS – IN DE DOOS,,,,,,
3,,TABLE,MESA,MESA,TAVOLO,TABLE,TISCH,テーブル,てーぶる,TE-BURU,TAFEL,,,,,,
3,,ON THE TABLE,EM CIMA DA MESA,ENCIMA DE LA MESA,SUL TAVOLO,SUR LA TABLE,AUF DEM TISCH,テーブルの上に,てーぶるのうえに,TE-BURU NO UE NI,OP DE TAFEL,,,,,,
3,,CALL,CHAMAR,LLAMAR,CHIAMARE,APPELER,RUFEN,呼ぶ,よぶ,YOBU,ROEPEN,,,,,,
3,,COME – GO,VIR – IR,VENIR – IR,VENIRE – ANDARE,VENIR – ALLER,KOMMEN – GEHEN,来る – 行く,くる – いく,KURU – IKU,KOMEN – GAAN,,,,,,
3,,GET TOWEL,PEGAR TOALHA,AGARRAR TOALLA,PRENDERE ASCIUGAMANO,PRENDRE SERVIETTE,HANDTUCH NEHMEN,タオルを取る,たおるをとる,TAORU O TORU,HANDDOEK PAKKEN,,,,,,
3,,STAY – LEAVE,FICAR – SAIR,QUEDARSE – SALIR,RESTARE – ANDARE VIA,RESTER – PARTIR,BLEIBEN – GEHEN,居る – 去る,いる – さる,IRU – SARU,BLIJVEN – WEGGAAN,,,,,,
3,,AT THE TABLE – UNDER THE TABLE,NA MESA – DEBAIXO DA MESA,EN LA MESA – DEBAJO DE LA MESA,SUL TAVOLO – SOTTO IL TAVOLO,SUR LA TABLE – SOUS LA TABLE,AUF DEM TISCH – UNTER DEM TISCH,テーブルの上 – テーブルの下,てーぶるのうえ – てーぶるのした,TE-BURU NO UE – TE-BURU NO SHITA,OP DE TAFEL – ONDER DE TAFEL,,,,,,
