"CEFR","Grammar Point",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,"Answer1","Answer2","Answer3","Answer4","Answer5","Answer6","Answer7","Answer8","Answer9","Answer10","Answer11","Answer12","Answer13","Answer14","Answer15","Answer16","Answer17","Answer18","Answer19","Answer20"
"A1","To be – present tense","She ______ my sister.","He _____ the owner of the store.","I ______ a student.","They ______ friends.","He ______ very tall.","We ______ at home.","You ______ happy today.","It ______ a sunny day.","I ______ tired.","She ______ in the garden.","They ______ in the classroom.","We ______ ready to go.","He ______ a doctor.","You ______ late.","I ______ hungry.","It ______ cold today.","She ______ very kind.","They ______ not at school.","We ______ excited about the trip.","He ______ from Brazil.","is","is","am","are","is","are","are","is","am","is","are","are","is","are","am","is","is","are","are","is"
"A1","A/An","I saw ______ elephant at the zoo.","He bought ______ book from the shop.","She found ______ umbrella in the classroom.","There is ______ cat on the roof.","We spotted ______ owl near the tree.","He carried ______ bag to school.","She picked ______ apple from the basket.","I need ______ pencil to write.","He ate ______ ice cream cone.","They have ______ dog in the yard.","She saw ______ ant on the wall.","He wore ______ hat to the party.","We bought ______ orange at the market.","She met ______ teacher yesterday.","There is ______ egg in the fridge.","He wants ______ sandwich for lunch.","She owns ______ iguana as a pet.","I saw ______ lamp in the store.","He carried ______ hourglass to class.","an","a","an","a","an","a","an","a","an","a","an","a","an","a","an","a","an","a","an","a","an "
"A1","There is/There are","______ a cat on the table.","______ two cats on the sofa.","______ a book on the desk.","______ some pencils in the box.","______ an apple in the basket.","______ three chairs in the room.","______ a dog in the yard.","______ some flowers in the vase.","______ a clock on the wall.","______ two windows open.","______ a bag on the chair.","______ some toys on the floor.","______ a lamp on the nightstand.","______ a TV in the living room.","______ a phone on the table.","______ a car in the garage.","______ a window open.","______ some papers on the desk.","______ a towel in the bathroom.","______ two cups on the table.","There is","There are","There is","There are","There is","There are","There is","There are","There is","There are","There is","There are","There is","There is","There is","There is","There is","There are","There is","There are"
"A1","This/That; These/Those","______ is my phone.","______ are my keys.","______ is her bag.","______ are our friends.","______ is his hat.","______ are your shoes.","______ is the teacher.","______ are the students.","______ is the book I need.","______ are the pictures on the wall.","______ is my notebook.","______ are my pens.","______ is that car.","______ are those trees.","______ is this chair.","______ are these cups.","______ is that dog.","______ are those birds.","______ is this lamp.","______ are these plates.","This","These","That","Those","That","Those","This","These","This","Those","This","These","That","Those","This","These","That","Those","This","These"
"A1","Present continuous tense","They ______ watching TV.","She ______ reading a book.","I ______ eating dinner.","We ______ playing football.","He ______ cooking in the kitchen.","You ______ listening to music.","They ______ studying for exams.","She ______ writing a letter.","I ______ drinking water.","We ______ swimming in the pool.","He ______ driving to work.","You ______ learning English.","They ______ dancing at the party.","She ______ singing a song.","I ______ doing my homework.","We ______ talking on the phone.","He ______ watching a movie.","You ______ running in the park.","They ______ painting the wall.","She ______ drawing a picture.","are","is","am","are","is","are","are","is","am","are","is","are","are","is","am","are","is","are","are","is"
"A1","Simple present tense","He ______ coffee every morning.","She ______ to school by bus.","I ______ breakfast at 7 a.m.","We ______ in the park on Sundays.","He ______ football after school.","You ______ English very well.","They ______ in a big house.","She ______ her homework every day.","I ______ water every morning.","We ______ TV in the evening.","He ______ music loudly.","You ______ very fast.","They ______ in the library.","She ______ flowers in the garden.","I ______ my room every week.","We ______ together on weekends.","He ______ tea in the morning.","You ______ books every night.","They ______ lunch at noon.","She ______ dresses very nicely.","drinks","goes","eat","play","plays","speak","live","does","drink","watch","listens","run","study","plants","clean","meet","drinks","read","have","wears"
"A1","To be – past tense","We ______ tired yesterday.","He ______ at home last night.","She ______ happy yesterday.","I ______ late for school.","They ______ in the garden.","You ______ at the party.","It ______ cold yesterday.","We ______ busy last week.","He ______ hungry an hour ago.","She ______ sad yesterday.","I ______ excited about the trip.","They ______ in the classroom.","You ______ tired yesterday.","He ______ at the office.","She ______ in the kitchen.","I ______ sleepy yesterday.","We ______ at the park.","You ______ at home.","They ______ on vacation.","It ______ sunny yesterday.","were","was","was","was","were","were","was","were","was","was","was","were","were","was","was","was","were","were","were","was"
"A1","Interrogative words","______ are you doing?","______ is your name?","______ do you live?","______ is he?","______ are they going?","______ did you say?","______ is this for?","______ time is it?","______ are we waiting?","______ is coming to the party?","______ can help me?","______ are those people?","______ did she call?","______ is your favorite color?","______ is knocking at the door?","______ are you talking to?","______ did they arrive?","______ is playing the piano?","______ do you want to eat?","______ is your best friend?","What","What","Where","Who","Where","What","What","What","Why","Who","Who","Who","When","What","Who","Who","When","Who","What","Who"
"A2","Position/meaning of “too”","I like ice cream, and my sister does ______.","He enjoys reading novels, and his friends do ______.","The coffee is ______ hot to drink.","She was ______ tired to continue studying.","This bag is ______ heavy for me to carry.","He is ______ young to drive a car.","The box is ______ large to fit in the trunk.","This room is ______ small for all of us.","The movie was ______ long for my liking.","I ______ want to go to the concert.","She ______ can join the team if she wants.","Too many people attended the party.","Too often we forget to say thank you.","I am learning French, and my brother is learning Spanish ______.","The soup is ______ cold to eat.","The hill is ______ steep to climb.","She is ______ nervous to speak in public.","They were ______ excited to start the trip.","This shirt is ______ tight to wear.","He was ______ weary to continue walking.","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too"
"A2","Very / too / so","She is ______ tired today.","He is ______ happy to see you.","The soup is ______ hot.","The movie is ______ interesting.","The book is ______ boring.","They are ______ excited.","I am ______ hungry.","The shoes are ______ small.","The dress is ______ beautiful.","The weather is ______ cold.","The room is ______ big.","The test is ______ difficult.","She is ______ kind.","He is ______ smart.","The music is ______ loud.","The cake is ______ sweet.","The water is ______ cold.","The hill is ______ steep.","I am ______ sleepy.","They are ______ friendly.","too","so","very","very","too","so","too","very","so","too","very","too","very","so","too","very","too","so","too","very"
