STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI
1,1. PABLO WAKES UP.,1. PABLO ACORDA.,1. PABLO SE DESPIERTA.,1. PABLO SI SVEGLIA.,1. PABLO SE RÉVEILLE.,1. PABLO WACHT AUF.,1. パブロが目を覚ます。,1. パブロがめをさます。,1. PABLO GA ME WO SAMASU.
1,2. HE PICKS UP HIS TOOTHBRUSH.,2. ELE PEGA A ESCOVA DE DENTES.,2. ÉL TOMA SU CEPILLO DE DIENTES.,2. LUI PRENDE LO SPAZZOLINO.,2. IL PREND SA BROSSE À DENTS.,2. ER NIMMT SEINE ZAHNBÜRSTE.,2. 彼は歯ブラシを手に取る。,2. かれははぶらしをてにとる。,2. KARE WA HABURASHI WO TE NI TORU.
1,3. HE SQUEEZES TOOTHPASTE ON THE TOOTHBRUSH.,3. ELE ESPREME PASTA DE DENTE NA ESCOVA.,3. ÉL EXPRIME PASTA DE DIENTES EN EL CEPILLO.,3. LUI SPREME IL DENTIFRICIO SULLO SPAZZOLINO.,3. IL MET DU DENTIFRICE SUR LA BROSSE À DENTS.,3. ER DRÜCKT ZAHNPASTA AUF DIE ZAHNBÜRSTE.,3. 彼は歯ブラシに歯磨き粉を出す。,3. かれははぶらしにはみがきこをだす。,3. KARE WA HABURASHI NI HAMIGAKIKO WO DASU.
1,4. HE BRUSHES HIS TEETH (CLOSEUP).,4. ELE ESCOVA OS DENTES (CLOSEUP).,4. ÉL SE CEPILLA LOS DIENTES (PRIMER PLANO).,4. LUI SI LAVA I DENTI (PRIMO PIANO).,4. IL SE BROSSE LES DENTS (GROS PLAN).,4. ER PUTZT SEINE ZÄHNE (NAHAUFNAHME).,4. 彼は歯を磨く（クローズアップ）。,4. かれははをみがく（クローズアップ）。,4. KARE WA HA WO MIGAKU (CLOSE-UP).
1,4. HE BRUSHES HIS TEETH.,4. ELE ESCOVA OS DENTES.,4. ÉL SE CEPILLA LOS DIENTES.,4. LUI SI LAVA I DENTI.,4. IL SE BROSSE LES DENTS.,4. ER PUTZT SEINE ZÄHNE.,4. 彼は歯を磨く。,5. かれははをみがく。,5. KARE WA HA WO MIGAKU.
1,5. HE RINSES HIS MOUTH WITH WATER.,5. ELE ENXÁGUA A BOCA COM ÁGUA.,5. ÉL SE ENJUAGA LA BOCA CON AGUA.,5. LUI SCIAQUA LA BOCCA CON ACQUA.,5. IL SE RINCE LA BOUCHE AVEC DE L’EAU.,5. ER SPÜLT SEINEN MUND MIT WASSER.,5. 彼は口を水でゆすぐ。,6. かれはくちをみずでゆすぐ。,6. KARE WA KUCHI WO MIZU DE YUSUGU.
1,6. HE RINSES THE TOOTHBRUSH.,6. ELE ENXÁGUA A ESCOVA DE DENTES.,6. ÉL ENJUAGA EL CEPILLO DE DIENTES.,6. LUI RISCIACQUA LO SPAZZOLINO.,6. IL RINCE SA BROSSE À DENTS.,6. ER SPÜLT DIE ZAHNBÜRSTE AB.,6. 彼は歯ブラシを洗う。,7. かれははぶらしをあらう。,7. KARE WA HABURASHI WO ARAU.
1,7. HE PUTS THE TOOTHBRUSH IN THE HOLDER.,7. ELE COLOCA A ESCOVA NO SUPORTE.,7. ÉL PONE EL CEPILLO EN EL SOPORTE.,7. LUI METTE LO SPAZZOLINO NEL PORTASPZZOLINO.,7. IL MET LA BROSSE À DENTS DANS LE PORTE-BROSSE.,7. ER STECKT DIE ZAHNBÜRSTE IN DEN HALTER.,7. 彼は歯ブラシをホルダーに置く。,8. かれははぶらしをホルダーにおく。,8. KARE WA HABURASHI WO HORUDĀ NI OKU.
1,8. HE DRIES HIS HANDS WITH A TOWEL.,8. ELE SECA AS MÃOS COM UMA TOALHA.,8. ÉL SE SÉCA LAS MANOS CON UNA TOALLA.,8. LUI SI ASCIUGA LE MANI CON UN ASCIUGAMANO.,8. IL SE SÈCHE LES MAINS AVEC UNE SERVIETTE.,8. ER TROCKNET SEINE HÄNDE MIT EINEM HANDTUCH.,8. 彼はタオルで手を乾かす。,9. かれはタオルでてをかわかす。,9. KARE WA TAORU DE TE WO KAWAKASU.
1,9. HE SMILES IN THE MIRROR.,9. ELE SORRI NO ESPELHO.,9. ÉL SONRÍE EN EL ESPEJO.,9. LUI SORRIDE NELLO SPECCHIO.,9. IL SOURIT DANS LE MIROIR.,9. ER LÄCHELT IM SPIEGEL.,9. 彼は鏡に向かって笑う。,10. かれはかがみにむかってわらう。,10. KARE WA KAGAMI NI MUKATTE WARAU.
2,1. HE IS JOHN.,1. ELE É JOHN.,1. ÉL ES JOHN.,1. LUI È JOHN.,1. IL EST JOHN.,1. ER IST JOHN.,1. 彼はジョンです。,11. かれはジョンです。,11. KARE WA JOHN DESU.
2,2. HIS HANDS ARE DIRTY.,2. SUAS MÃOS ESTÃO SUJAS.,2. SUS MANOS ESTÁN SUCIAS.,2. LE SUE MANI SONO SPORCHE.,2. SES MAINS SONT SALES.,2. SEINE HÄNDE SIND SCHMUTZIG.,2. 彼の手は汚れている。,12. かれのてはよごれている。,12. KARE NO TE WA YOGORETE IRU.
2,3. HE WALKS TO THE SINK.,3. ELE CAMINHA ATÉ A PIA.,3. ÉL CAMINA HACIA EL LAVABO.,3. LUI CAMMINA VERSO IL LAVABO.,3. IL MARCHE VERS LE LAVABO.,3. ER GEHT ZUM WASCHBECKEN.,3. 彼は洗面台に歩く。,13. かれはせんめんだいにあるく。,13. KARE WA SENMENDAI NI ARUKU.
